Area,Section,Round,Year,Month,Day,Time,Temperature,Wind  (Bft),Cloud coverage,Precipitation,Species (ger/lat),Species (eng/lat),Amount,Mating wheel,Oviposition,,
DS2 (an der Hunte),D*dragonfly,3,2021,7,28,14:50,25,2,2/8,0,Anax imperator,Anax imperator,1,,,,
DS2 (an der Hunte),E*dragonfly,3,2021,7,28,14:25,25,2,2/8,0,Orthetrum cancellatum,Orthetrum cancellatum,2,,,,
DS2 (an der Hunte),A,4,2021,8,21,13:30,24,1,1/8,0,Große Pechlibelle (Ischnura elegans),Blue-tailed damselfly (Ischnura elegans),14,yes,,,
DS2 (an der Hunte),A,4,2021,8,21,13:30,24,1,1/8,0,Lestes viridis,Lestes viridis,1,,,,
DS2 (an der Hunte),A*dragonfly,4,2021,8,21,14:15,24,1,1/8,0,Orthetrum cancellatum,Orthetrum cancellatum,1,,,,
DS2 (an der Hunte),A*dragonfly,4,2021,8,21,14:15,24,1,1/8,0,Anax imperator,Anax imperator,2,,,,
DS2 (an der Hunte),B,4,2021,8,21,13:45,24,1,1/8,0,Große Pechlibelle (Ischnura elegans),Blue-tailed damselfly (Ischnura elegans),12,yes,,,
DS2 (an der Hunte),B,4,2021,8,21,13:45,24,1,1/8,0,Lestes viridis,Lestes viridis,3,,,,
DS2 (an der Hunte),C,4,2021,8,21,14:00,24,1,1/8,0,Große Pechlibelle (Ischnura elegans),Blue-tailed damselfly (Ischnura elegans),10,yes,,,
DS2 (an der Hunte),C,4,2021,8,21,14:00,24,1,1/8,0,Lestes viridis,Lestes viridis,4,yes,,,
DS2 (an der Hunte),C,4,2021,8,21,14:00,24,1,1/8,0,Calopteryx splendens,Calopteryx splendens,1,,,,
DS2 (an der Hunte),B*dragonfly,4,2021,8,21,14:00,24,1,1/8,0,Orthetrum cancellatum,Orthetrum cancellatum,1,,,,
DS2 (an der Hunte),B*dragonfly,4,2021,8,21,14:00,24,1,1/8,0,Anax imperator,Anax imperator,2,,,,
DS2 (an der Hunte),D,4,2021,8,21,14:15,24,1,1/8,0,Große Pechlibelle (Ischnura elegans),Blue-tailed damselfly (Ischnura elegans),12,yes,,,
DS2 (an der Hunte),D,4,2021,8,21,14:15,24,1,1/8,0,Blaue Federlibelle (Platycnemis pennipes),White-legged damselfly (Platycnemis pennipes),2,,,,
DS2 (an der Hunte),D,4,2021,8,21,14:15,24,1,1/8,0,Calopteryx splendens,Calopteryx splendens,1,,,,
DS2 (an der Hunte),E,4,2021,8,21,14:30,24,1,1/8,0,Große Pechlibelle (Ischnura elegans),Blue-tailed damselfly (Ischnura elegans),8,yes,,,
DS2 (an der Hunte),C *dragonfly,4,2021,8,21,13:45,24,1,1/8,0,Orthetrum cancellatum,Orthetrum cancellatum,1,,,,
DS2 (an der Hunte),D*dragonfly,4,2021,8,21,13:30,24,1,1/8,0,Orthetrum cancellatum,Orthetrum cancellatum,1,,,,
DS2 (an der Hunte),E*dragonfly,4,2021,8,21,13:15,24,1,1/8,0,Orthetrum cancellatum,Orthetrum cancellatum,1,,,,
